,Question,Answer
,Provide the addresses of your corporate offices(s) and regional headquarter(s).,"United Kingdom headquarters:
Onepoint Consulting Ltd,
100 Villiers Road,
London. NW2 5PJ
United Kingdom

United Kingdom regional office:
Onepoint Consulting Ltd, 
Centurion House, 
129 Deansgate, 
Manchester. M3 3WR
United Kingdom

India office:
Onepoint IT Consulting Pvt Ltd,
Apex IT Park, Baner,
Pune - 411045 Maharashtra,
India"
,"Please provide your company's business type of principal office (Corporation, Partnership, LLC).",Limited (Ltd)
,Provide the number of years as this business type.,17 years
,Please provide the number of years under current ownership.,17 years
,Please provide the other names your company has operated under,One Point Consulting Ltd
,Has your company been involved in any mergers or acquisitions in the last 36 months?,No
,"If you answered “yes"" to question 1.24 please provide an executive-level summary of activity and impact.",Not applicable
,Is your company currently expanding or decreasing its workforce? Please explain.,"Yes, Onepoint is expanding its workforce in response to growth in the number of clients and client projects. The vast majority of the growth in headcount is on technologists, data experts, and business analysts.

As of February 2023, the total headcount is 62, with 36 in India and 26 in the UK.
The workforce has grown 13% in the calendar year 2023 to-date. This builds on headcount growth of 31% in 2022 and headcount growth of 11% in 2021.

Onepoint opened a regional UK office in Manchester in February 2023 to further diversify the talent pool (see ""08 Manchester Calling.pdf"" on Zycas uploads, which gives more information on our expansion to Manchester.) 

We are in early stages of planning for a potential second offshore centre in Colombo, Sri Lanka, in response to additional client needs."
,Is your company currently for sale or involved in any transactions to expand or become acquired?,No
,List any clients your company has lost during the last 12 months,Autolus. Autolus decided to switch suppliers due to cost pressures and selected a vendor who was able to provide free implementation services that Onepoint could not sustain
,"Please list annual revenues for your company's last 3 fiscal years (FY2021, FY2020, FY2019)","FY2019: £1.5M
FY2020: £1.85M
FY2021: £1.57M
FY2022: £2M"
,Please provide documentation on Dun & Bradstreet rating or equivalent.,"Please refer to ""1.30 Onepoint Credit Safe Report.pdf"", which has been uploaded to Zycus"
,What has your company's market share been over the past three years? Please provide information by region as appropriate.,As an SME we do not track market share.
,"List your top 3 CBRE spend projects (total project budget) for 2022 and 2021. If you are not a CBRE client, list your Main Client's top 3 projects for these years.","Our client engagements range from a single contract covering a single programme to multiple projects. 

Of the top 3 clients by revenue in 2021 and 2022, two were single programmes and one had five projects. 

Flight Centre UK £1.4M 

Lightsource bp £870K, 5 parallel projects:
£30K (Requirements)
£30K (MDM)
£135K (Integration)
£75K (Application Development)
£600K (Data engineering and Data Lake)

Moto Hospitality £400K

Please note that this sensitive commercial information is provided to CBRE in strict commercial confidence."
,Describe the typical margin/profit throughout your supply chain (from mfg. to end user),Not applicable
,Briefly describe your Company's capabilities and reach.,"Onepoint is a boutique, values-driven, business-oriented technology consultancy. 
We architect, prototype, build, deliver, and manage enterprise-grade solutions in four focus domains (or service lines): 
1. Power better total experiences; 
2. Prove & power products and services; 
3. Realise value from data, analytics, AI / ML; and 
4. Transform, scale & deliver IT. 

Clients often engage us around 20 common cross-industry use cases within our service lines. 

Our capabilities are explored in detail on pages 6, 11, and 19-22 of ""03 Onepoint - Company Profile.pdf"", which has been uploaded to Zycus. 

A summary of our capabilities can be found in our 2-page brochure (""04 Onepoint - Your Trusted Companions for the Digital Journey (Brochure).pdf""), which is also available on Zycus. 

Our 3-minute brand video, which has been uploaded to Zycus as ""05 Onepoint - We are Onepoint (Brand Film).zip"", also gives an overview of our capabilities.

With remote delivery and cloud capabilities, our reach is global. We have served clients such as Flight Centre on multiple continents (Australia, Europe, Asia, North America). 

Our physical presence is in Europe and India. Historically, we have tended to win work with multinationals with a material footprint in the UK and Europe. CBRE would also be a fit within this."
,"Please provide a list of your main office locations, particularly in the UK and India (including the street address).","United Kingdom headquarters:
Onepoint Consulting Ltd,
100 Villiers Road,
London. NW2 5PJ
United Kingdom

United Kingdom regional office:
Onepoint Consulting Ltd, 
Centurion House, 
129 Deansgate, 
Manchester. M3 3WR
United Kingdom

India office:
Onepoint IT Consulting Pvt Ltd,
Apex IT Park, Baner,
Pune - 411045 Maharashtra,
India"
,In which geographic region(s) does your company have the strongest presence and expertise? Please explain.,"Onepoint has offices in the UK and India. The headquarters is in the UK, where the majority of the senior technologists and project management teams are located. 

Our offshore technology capability is located in Pune, India, where 58% of our headcount is based."
,How will your teams work collaboratively around different geographical locations to ensure consistency and quality service is provided to the CBRE UK team?,"We are experienced in delivering projects that involve multiple teams in multiple geographies. All teams will be project managed by a UK-based senior leader at Onepoint.

The engagement will also have a UK-based Onepoint relationship executive for CBRE, who will take overall accountability for consistency, quality assurance, and value delivery. 

A case study of one of our multi-geography engagements is described in ""06 Onepoint - Reaching for the Skies (Client Story).pdf"", which has been uploaded to Zycus."
,Does your organisation report via the CDP (Carbon Disclosure Project) (https://www.cdp.net/en/responses/) on an annual basis?,No
,"If you are disclosing, for what is your latest CDP score?",N/A
,Have you commited to and published Science Based Targets?,No
,Does your company qualify as a diverse supplier based on CBRE's definitons?,Yes
,Minority Owned: Is your company a minority certified business?,Yes
,"Do you have any initiatives in place that support disadvantage or marginalised groups in the community? For example: placing contract with social enterprises or providing training/employment/mentoring opportunities for disadvantaged groups? If yes, please give brief description","Yes, Onepoint’s founder, Shashin Shah, came to the UK in 1971. The government of Idi Amin had expelled all ethnic Asians from Uganda. Shashin saw at first hand the challenges ethnic minority groups can face in any part of the world. 

That experience shaped Shashin’s worldview. He ensured that contributing to society would become part of Onepoint’s core DNA.

Since its first day of operation in 2005, Onepoint has contributed to society in multiple ways, including taking on apprentices and interns in the UK and India, providing work experience to school children, and taking on refugees. 

Onepoint currently has two interns in the UK, who are both from minority ethnic groups. Previous interns and apprentices have been from both minority and majority groups, as we believe in diversity, equity, and inclusion (DEI) of all forms.

We employ two refugees with origins in Afghanistan and Iran, who are now based in Greece and Germany. 

We chose to employ a number of people who are transitioning into an IT career in our recently (February 2023) launched Manchester office, giving them opportunities to level-up. 

Onepoint provides pro bono technology and data services and support to various charities and non-governmental organisations (NGOs). 

The company has also helped develop two wellbeing apps, Happidote and Beezone that put mental health awareness at the forefront.
We care about mindfulness and wellbeing so much that we even made public one of our internal practices. During the difficult times of the pandemic, Onepoint launched fortnightly public ‘yoga for the mind’ guided meditation sessions called Onepoint Oneness, which are streamed live on YouTube. These sessions continue to this day, having gone past 100 episodes in 2022. The library of previous Oneness sessions are available to view on-demand on YouTube."
,"Please describe your policy and procedures for ensuring that no modern slavery practices exist in your supply chains for the services or you are providing, or content your are supplying as part of this service.","Yes, Please see our response in the document ""3.8 Onepoint Modern Slavery & Human Trafficking statement.pdf"" uploaded to the Zycus portal."
,Do you have an EcoVadis rating with a score of at least 56/100?,No
,If you submit to EcoVadis do you intend to use the insights in which EcoVadis provides to improve performance?,No
,How do you ensure quality is maintained across your organisation? How do you maintain the quality of your specific programs and services?,"4.1
Our QA approach in general is presented in detail below, For the CBRE projects at a high level we propose the following main quality assurance steps:
• Robust quality driven project and scrum management approach
• Peer reviews of Architecture / High Level Design / Detailed Designs to ensure alignment to the functional and quality requirements
• Ensuring no-ambiguity and common understanding of CBRE requirements through requirements review and documented acceptance criteria for each requirements
• Perform code-walkthroughs via peer reviews to ensure code alignment to design, best practice adoption and assure code quality
• Adopt test driven development and test for functional and non-functional requirements to identify defects earlier
• Peer reviews of unit test cases to ensure comprehensive code coverage

Onepoint QA Approach
Onepoint QA is to ensure providing business value and at the same time delivering quality work to CBRE. Our QA is a systematic approach consisting of processes, procedures, techniques, and standards for ensuring the: 
• Quality of services provided / deliverables created by the Onepoint team 
• Application of best practices and techniques that minimise risks to quality, schedule, and budget 
• Delivery of consistent results in terms of quality, schedule, and budget across multiple services 
• Comprehension of stakeholder expectations, with a clearly outlined approach to meet those expectations 
• To ensure services provide business value, meet CBRE expectations and quality deliverables are delivered to the client.
The key team members we have proposed for this project typically have 10+ years’ experience; their in-depth experience is critical to maintain quality."
,"At an organisational level, what measurements do you use to determine quality?","Quality measures are implemented by independent QA team (not part of the development team) across the organization. Using a shift left approach QA team is included from initial stages of the project ensuring quality from the requirement upto the final deliverable. The measures of Quality used are -
- Code Quality
- Test Coverage
- Reliability 
- Performance / Availability
- Usability 
- Security 
- Productivity
- User satisfaction surveys"
,"At a project level, what tools do you use to determine quality assurance standards?","Burndown Charts, Requirment Tracebility Matrix, Test Coverage, Code Quality Tools ( SonarQube), etc."
,What is the process by which quality is designed and built into your services?,"- Requirement validation process
- Architecture validation process
- Development validation process (required for deployment in UAT/Pre-Prod)"
,"Does your company have any quality certifications? If yes, please provide details by country.",No
,How do you determine customer satisfaction for your services?,"Onepoint strives to do continuous improvement of its service through periodic customer feedback.Our biggest indicator of customer satisfaction is repeat business and longevity of engagement. We reach out to client to measure their satisfaction as below: 
C-suite engagement (Ongoing, periodic verbal and direct feedback) - CEO organises regular and periodic calls with senior client stakeholders to obtain verbal feedback of the performance of project team and deliverables.(Eg: Meggitt, Moto)
Ongoing feedback - We invite our clients to sprint retrospectives to raise and address any concerns as they are identified.
Retrospective and written feedback - Onepoint invites clients to share retrospective feedback on project completion in the form of testimonials."
,"At a project level, what documentation standards do you produce for quality control?","From QA prespective:
- High level test strategy
- Detailed test plans
- Test scenarios
- Test cases
- Requirement traceability matrix
- Bug reports
- Test execution reports (These can be maintained in Test Management Tool like ALM, Devops, Jira etc)"
,"Describe how you manage NFR testing - performance and test security (stress, load, volume)","Performance engineering approach drives us to engineer performance and scalability during the architecture and design stage not after performance testing when it will be expensive and time consuming to fix any design anomalies. If required to ensure correct approach, we carry out proof of concept design to remove any potential areas of uncertainty. 
Performance engineering relies on the following activities that form the basis of a methodology: 
- Identify the key factors that will determine a system’s performance; 
- Measure the system and understand its workload (when it exists); 
- Develop and validate a workload model that captures the key characteristics of the actual workload; 
- Develop and validate an analytical model that accurately predicts the performance of the system; 
- Use the model (s) to predict and optimise the performance of the system. 
Performance testing is done based on non-function requirements to ensure specified performance criteria are met. 
Testing is usually separated in synthetic tests that are emulating load on specific component (For example for web app: page rendering, API response) and experience test that will measure time for page to load in browser. We may conduct following tests (depending on NFRs): 
- Load testing 
- Stress testing 
- Endurance testing 
- Spike testing 
- Volume testing 
- Scalability testing 

Relevant tools will be selected for each test based on the requirements Similar approach is taken for Security - in addition to security by design and gate reviews, test will cover relevant areas. For System Security, internal access control, row level security, security features defined in the requirements w.r.t internal systems are covered. However security testing such as testing 3rd party software packages, threat analysis, vulnerability, DDOS attacks etc., are covered by an external intependent party to ensure unbiased results."
,Share your experience of delivering outcomes with TDD and BDD approaches,"We used this as unit testing in our in-house projects, writing the testing before implementation, including tests using natual language (based on cucumber)"
,Describe your company's innovation strategy and how it drives growth,"Within our Onepoint Research banner, Our CTO, Alexander (Sasha) Polev, leads a team of architects to continuously track and monitor emerging and evolving technologies in the open source, application development, data management, systems integration, and cloud landscape. Once we identify technologies that we feel can drive improved value generation for our clients and our colleagues, we use our Valuepath™ approach to carry out internal PoCs (proof of concepts) to gain deeper insight and experience.

Our team also participates in open competitions (such as Kaggle) to test our learnings with a broader group of stakeholders. Over the course of our existence, we have used this approach to develop capabilities in AI / ML, Big / Fast Data, Kubernetes, cloud based data architectures, ETL / ELT and IPaaS. 

This research, experimentation, and continuous innovation has led us to add decisive value to major projects for our clients using Talend, Boomi, Mulesoft, Node.js, and Snowflake on AWS and Azure.

A case study on one of our complex data engagements, ""06 Onepoint - Reaching for the Skies (Client Story).pdf"", which has been uploaded to Zycus, describes how our continuous innovation contributed to achieving the client’s digital business outcomes."
,How does your company measure the success of its innovation efforts?,"We use a combination of measures to consider the success of our innovation efforts. Some indicators are:
1. Reduced time to outcome for our clients;
2. Reduced cost to our clients;
3. Enhancing or building new strategic partnerships with technology vendors;
4. Building long term partnerships with our clients; and
5. Staff satisfaction, personal growth, and retention.

Most importantly, we value what clients say about the innovative contributions we make:

“Onepoint challenges obvious solutions, instead striving to deliver a solution that puts you ahead of the competition.” — Mark Stier, former Enterprise Architect at TUI Group, one of the world’s leading leisure, travel, and tourism companies."
,"Can you discuss any partnerships, collaborations, or acquisitions that have helped drive innovation at your company?","Yes, We work closely with our strategic partners to develop tailored innovative solutions for clients. We have applied our Valuepath™ approach in collaboration with technology partners such as Boomi, Snowflake, Talend, and Quickbase to identify and develop innovative solutions for clients such as Moto Hospitality and Lightsourcebp."
,How does your company gather client feedback and incorporate it into your innovation efforts?,"As part of our Valuepath™ approach, we help clients to establish the true business value of innovative solutions or approaches by building a solid business case. 

This close working with end clients, typically with co-investment from Onepoint, naturally garners meaningful client feedback, as illustrated by the quote by Mark Stier mentioned in our answer to question 5.2."
,What steps is your company taking to stay on the cutting edge of technology and industry trends?,"Onepoint’s people are curious, lifelong learners, and always on the lookout for better ways of doing things. This naturally leads to an innovation mindset, in technology as well as other aspects. They stay abreast of what’s going on (e.g. through newsletter and alerts) and actively share learnings internally through Onepoint Fuse, our regular company-wide knowledge sharing sessions, internal chat forums (e.g. on Discord), personal blogging (e.g. on LinkedIn), and ad hoc ‘watercooler’ conversations.

Participating in industry exhibitions, online communities, and partner exchanges allow Onepoint to be on cutting edge in areas important to our clients. Additionally, Each Centre of Excellence is constantly on the lookout for practices and tools that will allow us bring greater value to clients by applying emerging technologies."
,How does your company foster a culture of innovation and support employee ideas and creativity?,"Our colleagues are part of Self Managing Teams focused on areas of strategic importance to the company. They can freely exchange ideas, conduct internal PoCs, and shape the technical strategy of the company. 
As illustrated in the response to question 5.5, a culture of innovation thrives at Onepoint."
,Describe how you typically evaluate the complexity of your projects and manage resources to estimate project requirements and risks?,"We evaluate complexity based on a number factors:
- High level requirements
- Technology stack, number of components and systems
- Scope, defined by the number and type of deliverables

Based on the above we typically identify the project's critical path and timelines, which in turn is used to define the resourcing profile and identify risks. Similar projects implemented before are often used as a reference."
,Do you have experience with project management tools and Agile software development (Scrum/Kanban)? Can you provide any case study examples?,"Yes, Onepoint has delivered projects using both waterfall and agile methodologies. More recent projects have been delivered using Agile scrum.
We leverage functionality from a wide variety of tools and platforms to aid project managers including:
- MS Project
- Jira (Kanban board)
- Azure devops board (Agile Scrum)
- Project reports and dashboards (including RAG status)
- Timesheets (Zoho People)
- Resource planning (runn.io)
- Smartsheets and Google sheets (Change management/Change Request tracking)
- SharePoint, DropBox, Confluence (Collaboration and document sharing)
- Google groups, Discord channels, Teams (Communication)
- Stakeholder mapping (Agile DSDM)
- RACI matrix

Our client case study document ""07 Onepoint - Helping SolarCo to Scale.pdf"" has been delivered using Agile scrum.

Tracking and ensuring timely project delivery (example based on Agile Scrum project)
Pre-sprint planning: Bi-weekly meeting with clients to ensure a healthy backlog is maintained and prioritised to feed upcoming sprints based on overall project timelines.
Nailing down definition of User stries/PBI Readiness: One key requirement is to ensure requirements and acceptance criteria fully documented, tasks are broken down and estimated, dependencies met, before they are marked “ready” for a sprint.
Sprint capacity calculated accurately factoring in team holidays. Usually 80% of capacity for tasks leaving 20% for generic activities including meetings.
Daily stand ups to track progress suing sprint burndown chart.
Sprint review and retrospective to ensure project aligned to business stakeholders expectation and processes are continuously improved."
,How do you maintain and develop the skills of your Development teams?,"Yes, we believe that maintaining and eveloping the skills of our teams is critical to the (long-term) success of any project and ultimately our organisation.
Our strategy for this is:
- To identify any skills gaps by regulary assessing team members on their knowledge and expertise.
- New joiners are typically assigned a mentor, pairing them with more experienced colleagues who can help them develop new skills and gain valuable insights into the industry.
- We offer training and development programs to all our employees. We have several employees that are part of an apprenticeship. In fact, several of our employees will enroll in an apprenticeship offered by CBRE. In addition team members are regularly required to complete training and certification for technologies used in their assigned projects.
- Within Onepoint we have a culture of learning and encourage everyone to take on opportunities that can help them develop new skills and make sure that everyone has access to learning resources. As part of this culture, we regularly organise ""Fuse"" sessions where people can share knowledge on new technologies or subjects they are passionate about.
- We encourage our teams to participate in emerging areas such as AL/ML by engaging on Kaggle projects"
,Do you have a technical expertise branch or center of excellence/innovation for Software and Data Engineering? How do they help increase pace of Delivery?,"Yes, we have SMTs (Self managing teams) and project teams that develop or different centre of excellence guided by our overall technical strategy. We use our experience and vendor best practices to define common patterns and create re-useable assets to speed up and reduce errors in delivery."
,How does your company ensure consistent standards are maintained throughout different services?,"We recognise that ensuring consistent standards is essential for maintaining quality and efficiency and do this in the following ways:
- Each technology often has their own standards and best practices defined. We are very diligent in adhering to these standards and best practices for the technologies we use.
- The above often includes a set of coding standards and best practices that all of our developers follow. This generally includes guidelines for naming conventions, coding style, use of libraries and frameworks.
- We typically embed code reviews into our standard development practices to ensure the code meets the established coding standards and best practices.
- As part of the project onboarding we provide all developer with necessary training and documentation to ensure that they understand and follow the established standards and best practices."
,Have you previously delivered Data Platform projects? Can you provide any case study examples? What were the key challenges faced and how they were addressed?,"Yes, we have provided two client case studies; please refer to:
- ""06 Onepoint - Reaching for the Skies (Client Story).pdf""
- ""07 Onepoint - Helping SolarCo to Scale.pdf"""
,"Is your company a Snowflake service partner? What tier is it - ""Elite"" or ""Premier"" or ""Select""?",Select
,"Tell us about your capabilities and expertise in the following areas:
• Automated testing/deployment
• Performance and load examination
• Technical documentation
• Continuous integration
• Security check-up","Depends on the technology. For example using Java as backend and React as a frontend, we have continous integration using automatic testing based on cucumber (easy to any BA to code tests against), and automatic deployments in case of test success. We use design docs as technical documention for solving challenging problems (including Security preventions). We also use JavaDocs and JsDocs to document code/apis/etc. Performance testing are done using JMeter."
,"Do you have a strong partnership with the world's top Cloud providers - AWS, Azure, GCP?","No, we have basic partnerships in place, we have extensive experience of AWS and Azure and have done some big data benchmarking on GCP"
,How long (duration in weeks) does a typical Product Discovery take and what roles are involved in this?,"6 - 12 weeks involving a lead PM / scrum master, business / systems analyst, architect, UI/UX resources"
,Have you previously delivered Data Provision end to end from a Datawarehouse and DataLake? What use cases did it solve?,"Yes, we have provided a client case study, please refer to:
- ""07 Onepoint - Helping SolarCo to Scale.pdf"""
,How does your company's technology improve the ease and reliability of data?,We support variety of tools in data management space and will select best tool for each specific use case. Ease and reliablilty of data is major factor in selecting the right technology. When client has already selected tools/technologies for the project we ensure ease of use and reliability features of the technologies are used to the fullest.
,How do you minimize attrition of staff and maximize business continuity?,"Having worked with top systems integration and management consultancy firms, the founding team of Onepoint brought decades of experience to the creation of Onepoint in 2005. Fundamental to this was a vision of building a very different kind of consulting firm that would be open, transparent, always ethical and honest, and focused on delivering value in our entire ecosystem, in addition to clients. This ecosystem includes our colleagues, partners, charities / NGOs, and broader communities around us. 
We use the Onepoint DNA Wheel diagram to encapsulate our mission, purpose, and values. For more details, please refer to page 15 of “03 Onepoint - Company Profile.pdf”, which has been uploaded to Zycus. This vision has created a values and value-driven culture that carries onto this day. It also helps us to ‘live’ our employer brand, which attracts people who want to join our mission and stay (and grow) with us for the long haul. 
Our colleagues are paid market rates. In addition, they have ample career development, a flat management hierarchy, and an array of benefits including medical care, dental care, life assurance cover and income protection. The fuller employee value proposition is summarised on page 8 of “09 Onepoint - Careers @ Onepoint (Recruitment Pack).pdf”, which has been uploaded to Zycus. 
Onepoint strives to allow each individual to be who they are and to find opportunities that best match their personal ambitions and development needs. Onepoint’s founding team continues to use great resolve to ensure we preserve a reasonable and sustainable life / work balance. This is why we prefer to grow the business organically, driven by client demand, rather than driven by aggressive financial targets. See comments as well.

We have grown headcount in 2022 and so far in 2023 based on additional work coming from our existing and new clients. We opened a regional UK office in Manchester in February 2023 to further diversify the talent pool and add more capability (see “08 Manchester Calling.pdf” on Zycas uploads, which gives more information on our expansion to Manchester.) 
Onepoint’s culture of caring and sharing means that any toxic behaviour is not tolerated. Together, all of this creates a workplace culture that is inviting and leads to long term commitment. Onepoint’s core team has been together for nearly two decades. 

Our employee retention and satisfaction rates are vastly higher than the industry average for the UK and in India. This means that clients like CBRE get business continuity and access to exceptional, committed talent. As we described in our answer to question 1.4, talent is one of our five core strengths and competitive advantages. 
We have a value-based culture; we also offer top tier benefits (physical and mental health cover for staff and family) and offer sabbaticals and other work/life balance. Our business continuity plan is contingency based with provisions for short, medium and long term cover."
,Tell about your typical ramp-up / onboarding times for supplementary staff.,4 to 6 weeks typically
,"Are there any skillsets like UI/UX, Solution Architecture, Product Owner or others that you do not provide or are very difficult to mobilize for projects?",No
,How does your company assign Developers to different projects (full time / part time)?,Skill set and availability are matched to project demand. A brief profile of the developer/resource is shared with client. We endeavour to assign a developer fully to a project rather than split his/her time in order to maintain productivity. We also skill up a resource where there is a skill gap prior to onboarding on project.
,What is your methodology for dealing with volatile demand for skills assessment and knowledge management?,"We maintain staff training records that provides visibility of skills. We have a methodical knowledge transfer session and clear documentation (video and textual) to knowledge management.
We have regular senior leadership meetings where we discuss resource allocation and projection to manage demands. We have relationship with 3rd parties or go to contract market to address urgent client demand where we can't meet it."
,How do you ensure software and data protection in your office premises?,Software and data protection is covered by our ISMS which is independently audited under our ISO27001 Certification
,How do you ensure protection of intellectual property?,Intellectual Property is covered by our ISMS which is independently audited under our ISO27001 Certification
,What is your approach towards co-location and hybrid working with clients?,"We are flexible in our approach to ensure we deliver maximum value to clients. We are also equally keen to balance the client needs and the personal needs of our teams. We understand that in order to build a long term relationship and mutually benefical partnership, onsite working together at key stages of the project (discovery, reviews, UAT testing, steering group meetings) will be crucial and we will be keen to support this."
,What is your Company's recovery plan during a natural disaster or pandemic?,"Please refer to the uploaded document ""7.4 Onepoint - Business Continuity Management Policy and Plan.pdf"" (mandatory ISO 27001 requirement)"
,How do you prioritise your Customers in case of a natural disaster or pandemic?,"As per ""7.4 Onepoint - Business Continuity Management Policy and Plan.pdf"" (mandatory ISO 27001 requirement) (mandatory ISO 27001 requirement), depending on actual scenario, the goal is always to restore BAU as soon as practicable."
,"Do you have training and dedicated resources to handle this type of situations when they arise? If yes, provide details.","Yes, Onepoint carries out BC training drills as part of our ISO27001 certification and audit processes. Specific senior leadership team are responsible for this and execution of the BC plan."
